LINHA:COL  TOKEN                LEXEMA
--------------------------------------------------
6:1        GATO                 gato
6:6        ID                   math
8:1        ENTRAR_NA_JAULA      ENTRAR_NA_JAULA
9:5        FOSSIL               fossil
9:12       CARNEIRINHO          carneirinho
9:24       ID                   META
9:29       ATRIB                =
9:31       NUM_INT              100
10:5       CARNEIRINHO          carneirinho
10:17      ID                   carga
11:5       CARNEIRINHO          carneirinho
11:17      ID                   serie
11:23      ATRIB                =
11:25      NUM_INT              1
12:5       CAMALEAO             camaleao
12:14      ID                   volume
12:21      ATRIB                =
12:23      NUM_REAL             0.0
13:5       CARNEIRINHO          carneirinho
13:17      ID                   resultado
16:5       ID                   resultado
16:15      ATRIB                =
16:17      NUM_INT              2
16:19      MAIS                 +
16:21      NUM_INT              3
16:23      VEZES                *
16:25      NUM_INT              4
17:5       RUGIR                rugir
17:10      ABRE_PAR             (
17:11      ID                   resultado
17:20      FECHA_PAR            )
18:5       ID                   resultado
18:15      ATRIB                =
18:17      ABRE_PAR             (
18:18      NUM_INT              2
18:20      MAIS                 +
18:22      NUM_INT              3
18:23      FECHA_PAR            )
18:25      VEZES                *
18:27      NUM_INT              4
19:5       RUGIR                rugir
19:10      ABRE_PAR             (
19:11      ID                   resultado
19:20      FECHA_PAR            )
21:5       RUGIR                rugir
21:10      ABRE_PAR             (
21:11      STRING               "Qual a carga no supino?"
21:36      FECHA_PAR            )
22:5       CAPTURAR             capturar
22:13      ABRE_PAR             (
22:14      ID                   carga
22:19      FECHA_PAR            )
24:5       SE_TEM_BICHO         se_tem_bicho
24:18      ABRE_PAR             (
24:19      ID                   carga
24:25      MAIOR_IGUAL          >=
24:28      ID                   META
24:32      FECHA_PAR            )
24:34      ABRE_CHAVE           {
25:9       RUGIR                rugir
25:14      ABRE_PAR             (
25:15      STRING               "BATEU A META! MONSTRO!"
25:39      FECHA_PAR            )
26:5       FECHA_CHAVE          }
26:7       SE_FOR_OUTRO_BIXO    Se_for_outro_bixo
26:25      ABRE_PAR             (
26:26      ID                   carga
26:32      MAIOR_IGUAL          >=
26:35      NUM_INT              50
26:37      FECHA_PAR            )
26:39      ABRE_CHAVE           {
27:9       RUGIR                rugir
27:14      ABRE_PAR             (
27:15      STRING               "Ta no caminho certo, vai subir o peso!"
27:55      FECHA_PAR            )
28:5       FECHA_CHAVE          }
28:7       NAO_TEM_BICHO        nao_tem_bicho
28:21      ABRE_CHAVE           {
29:9       RUGIR                rugir
29:14      ABRE_PAR             (
29:15      STRING               "Carga de frango!"
29:33      FECHA_PAR            )
30:5       FECHA_CHAVE          }
32:5       CONTAR_CARNEIRINHO   contar_carneirinho
32:24      ABRE_PAR             (
32:25      ID                   serie
32:31      MENOR_IGUAL          <=
32:34      NUM_INT              3
32:35      FECHA_PAR            )
32:37      ABRE_CHAVE           {
33:9       ID                   volume
33:16      ATRIB                =
33:18      ID                   volume
33:25      MAIS                 +
33:27      ID                   carga
33:33      VEZES                *
33:35      NUM_REAL             1.5
34:9       RUGIR                rugir
34:14      ABRE_PAR             (
34:15      STRING               "Serie "
34:24      MAIS                 +
34:26      ID                   serie
34:32      MAIS                 +
34:34      STRING               " concluida!"
34:47      FECHA_PAR            )
35:9       ID                   serie
35:15      ATRIB                =
35:17      ID                   serie
35:23      MAIS                 +
35:25      NUM_INT              1
36:5       FECHA_CHAVE          }
38:5       MIGRAR               migrar
38:12      ABRE_PAR             (
38:13      CARNEIRINHO          carneirinho
38:25      ID                   i
38:27      ATRIB                =
38:29      NUM_INT              10
38:31      PONTO_VIRGULA        ;
38:33      ID                   i
38:35      MAIOR                >
38:37      NUM_INT              0
38:38      PONTO_VIRGULA        ;
38:40      ID                   i
38:42      ATRIB                =
38:44      ID                   i
38:46      MENOS                -
38:48      NUM_INT              1
38:49      FECHA_PAR            )
38:51      ABRE_CHAVE           {
39:9       SE_TEM_BICHO         se_tem_bicho
39:22      ABRE_PAR             (
39:23      ID                   i
39:25      IGUAL                ==
39:28      NUM_INT              5
39:29      FECHA_PAR            )
39:31      ABRE_CHAVE           {
40:13      RUGIR                rugir
40:18      ABRE_PAR             (
40:19      STRING               "Cansou! Foge do loop!"
40:42      FECHA_PAR            )
41:13      FUGIR                fugir
42:9       FECHA_CHAVE          }
43:9       RUGIR                rugir
43:14      ABRE_PAR             (
43:15      ID                   i
43:16      FECHA_PAR            )
44:5       FECHA_CHAVE          }
46:5       RUGIR                rugir
46:10      ABRE_PAR             (
46:11      STRING               "Volume total: "
46:28      MAIS                 +
46:30      ID                   volume
46:36      FECHA_PAR            )
47:5       RUGIR                rugir
47:10      ABRE_PAR             (
47:11      STRING               "TREINO FINALIZADO!"
47:31      FECHA_PAR            )
48:1       SAIR_DA_JAULA        SAIR_DA_JAULA
49:1       EOF                  
Análise léxica concluída: 159 tokens reconhecidos (incluindo EOF).
